ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
175,0.0,0.5,28,1.4764,0.1995,-0.4081,0.2872,0.832
175,0.0,0.5,29,1.4863,0.2004,-0.4081,0.2873,0.835
175,0.0,0.5,30,1.4971,0.2015,-0.4081,0.2874,0.838
175,0.0,0.5,31,1.5195,0.2036,-0.4081,0.2875,0.845
175,0.0,0.75,28,1.6959,0.2201,-0.4081,0.3007,0.869
175,0.0,0.75,29,1.7067,0.2211,-0.4081,0.3008,0.872
175,0.0,0.75,30,1.7184,0.2221,-0.4081,0.3008,0.875
175,0.0,0.75,31,1.7428,0.2243,-0.4081,0.3009,0.881
175,0.02,0.0,28,1.6163,0.2128,-0.4081,0.2983,0.85
175,0.02,0.0,29,1.6268,0.2137,-0.4081,0.2984,0.853
175,0.02,0.0,30,1.6382,0.2148,-0.4081,0.2985,0.856
175,0.02,0.0,31,1.6619,0.217,-0.4081,0.2985,0.862
175,0.02,0.25,28,1.6973,0.2202,-0.4081,0.2996,0.87
175,0.02,0.25,29,1.7081,0.2212,-0.4081,0.2996,0.873
175,0.02,0.25,30,1.7199,0.2223,-0.4081,0.2997,0.876
175,0.02,0.25,31,1.7443,0.2244,-0.4081,0.2998,0.882
175,0.02,0.5,28,1.7775,0.2274,-0.4081,0.3034,0.884
175,0.02,0.5,29,1.7887,0.2284,-0.4081,0.3034,0.887
175,0.02,0.5,30,1.8008,0.2295,-0.4081,0.3035,0.89
175,0.02,0.5,31,1.8259,0.2317,-0.4081,0.3036,0.896
175,0.02,0.75,28,1.8568,0.2343,-0.4081,0.3097,0.892
175,0.02,0.75,29,1.8682,0.2353,-0.4081,0.3098,0.895
175,0.02,0.75,30,1.8807,0.2364,-0.4081,0.3099,0.897
175,0.02,0.75,31,1.9065,0.2386,-0.4081,0.3099,0.904
175,0.03,0.0,28,1.2574,0.1774,-0.4081,0.3028,0.736
175,0.03,0.0,29,1.2665,0.1784,-0.4081,0.3028,0.739
175,0.03,0.0,30,1.2763,0.1794,-0.4081,0.3029,0.742
175,0.03,0.0,31,1.2967,0.1815,-0.4081,0.303,0.748
175,0.03,0.25,28,1.414,0.1934,-0.4081,0.3037,0.783
175,0.03,0.25,29,1.4237,0.1943,-0.4081,0.3038,0.785
175,0.03,0.25,30,1.4343,0.1954,-0.4081,0.3039,0.788
175,0.03,0.25,31,1.4561,0.1975,-0.4081,0.3039,0.795
175,0.03,0.5,28,1.5789,0.2093,-0.4081,0.3067,0.825
175,0.03,0.5,29,1.5893,0.2102,-0.4081,0.3067,0.828
175,0.03,0.5,30,1.6005,0.2113,-0.4081,0.3068,0.831
175,0.03,0.5,31,1.6238,0.2135,-0.4081,0.3069,0.837
175,0.03,0.75,28,1.7524,0.2252,-0.4081,0.3116,0.862
175,0.03,0.75,29,1.7635,0.2262,-0.4081,0.3117,0.865
175,0.03,0.75,30,1.7755,0.2272,-0.4081,0.3118,0.868
175,0.03,0.75,31,1.8003,0.2294,-0.4081,0.3118,0.874
175,0.05,0.0,28,1.2371,0.1753,-0.4081,0.3034,0.728
175,0.05,0.0,29,1.2461,0.1762,-0.4081,0.3035,0.731
175,0.05,0.0,30,1.2558,0.1772,-0.4081,0.3036,0.734
175,0.05,0.0,31,1.276,0.1793,-0.4081,0.3036,0.741
175,0.05,0.25,28,1.3983,0.1918,-0.4081,0.3044,0.777
175,0.05,0.25,29,1.4079,0.1927,-0.4081,0.3044,0.78
175,0.05,0.25,30,1.4183,0.1938,-0.4081,0.3045,0.783
175,0.05,0.25,31,1.44,0.1959,-0.4081,0.3046,0.789
