sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,14,0.05,0.25,0.7975,0.1246,-0.364,0.2149,0.656,0.8025,0.633
5y,F79,14,0.05,0.5,0.9021,0.1374,-0.364,0.2181,0.702,0.8025,0.633
5y,F79,14,0.05,0.75,0.973,0.1458,-0.364,0.2188,0.734,0.8025,0.633
5y,F79,14,0.05,1.0,1.0028,0.1492,-0.364,0.219,0.747,0.8025,0.633
5y,F79,14,0.1,0.0,0.4524,0.0776,-0.3474,0.2066,0.466,0.8025,0.633
5y,F79,14,0.1,0.25,0.7965,0.1245,-0.364,0.217,0.651,0.8025,0.633
5y,F79,14,0.1,0.5,0.9153,0.139,-0.364,0.2184,0.707,0.8025,0.633
5y,F79,14,0.1,0.75,0.9638,0.1447,-0.364,0.2189,0.729,0.8025,0.633
5y,F79,14,0.1,1.0,0.9909,0.1478,-0.364,0.2191,0.741,0.8025,0.633
5y,F79,14,0.15,0.0,0.5534,0.0922,-0.3565,0.2123,0.523,0.8025,0.633
5y,F79,14,0.15,0.25,0.8246,0.128,-0.364,0.2177,0.664,0.8025,0.633
5y,F79,14,0.15,0.5,0.9133,0.1387,-0.364,0.2187,0.706,0.8025,0.633
5y,F79,14,0.15,0.75,0.9543,0.1436,-0.364,0.2191,0.724,0.8025,0.633
5y,F79,14,0.15,1.0,0.979,0.1465,-0.364,0.2193,0.735,0.8025,0.633
5y,F79,14,0.2,0.0,0.6648,0.1075,-0.3578,0.2153,0.584,0.8025,0.633
5y,F79,14,0.2,0.25,0.8381,0.1296,-0.364,0.2182,0.67,0.8025,0.633
5y,F79,14,0.2,0.5,0.9087,0.1382,-0.364,0.219,0.703,0.8025,0.633
5y,F79,14,0.2,0.75,0.9447,0.1425,-0.364,0.2194,0.719,0.8025,0.633
5y,F79,14,0.2,1.0,0.9669,0.1451,-0.364,0.2195,0.729,0.8025,0.633
5y,F79,14,0.3,0.0,0.735,0.1167,-0.364,0.2181,0.617,0.8025,0.633
5y,F79,14,0.3,0.25,0.8455,0.1305,-0.364,0.2192,0.672,0.8025,0.633
5y,F79,14,0.3,0.5,0.8976,0.1369,-0.364,0.2198,0.696,0.8025,0.633
5y,F79,14,0.3,0.75,0.9254,0.1402,-0.364,0.22,0.709,0.8025,0.633
5y,F79,14,0.3,1.0,0.9426,0.1422,-0.364,0.2202,0.716,0.8025,0.633
5y,F79,14,0.4,0.0,0.771,0.1213,-0.364,0.2197,0.633,0.8025,0.633
5y,F79,14,0.4,0.25,0.8456,0.1306,-0.364,0.2202,0.67,0.8025,0.633
5y,F79,14,0.4,0.5,0.8862,0.1355,-0.364,0.2207,0.688,0.8025,0.633
5y,F79,14,0.4,0.75,0.9067,0.138,-0.364,0.2209,0.698,0.8025,0.633
5y,F79,14,0.4,1.0,0.9198,0.1395,-0.364,0.221,0.704,0.8025,0.633
5y,F79,14,0.5,0.0,0.7992,0.1248,-0.364,0.2213,0.644,0.8025,0.633
5y,F79,14,0.5,0.25,0.8445,0.1304,-0.364,0.2214,0.667,0.8025,0.633
5y,F79,14,0.5,0.5,0.8742,0.134,-0.364,0.2217,0.681,0.8025,0.633
5y,F79,14,0.5,0.75,0.888,0.1357,-0.364,0.2218,0.687,0.8025,0.633
5y,F79,14,0.5,1.0,0.8976,0.1369,-0.364,0.2219,0.691,0.8025,0.633
5y,F79,21,0.02,0.0,0.115,0.022,-0.2065,0.0957,0.277,0.8025,0.633
5y,F79,21,0.02,0.25,0.7767,0.122,-0.363,0.213,0.649,0.8025,0.633
5y,F79,21,0.02,0.5,0.9168,0.1392,-0.364,0.2169,0.712,0.8025,0.633
5y,F79,21,0.02,0.75,0.9719,0.1456,-0.364,0.2187,0.734,0.8025,0.633
5y,F79,21,0.02,1.0,1.0107,0.1501,-0.364,0.219,0.751,0.8025,0.633
5y,F79,21,0.05,0.0,0.3345,0.0595,-0.2808,0.1605,0.442,0.8025,0.633
5y,F79,21,0.05,0.25,0.7834,0.1228,-0.364,0.2139,0.651,0.8025,0.633
5y,F79,21,0.05,0.5,0.903,0.1375,-0.364,0.2175,0.704,0.8025,0.633
5y,F79,21,0.05,0.75,0.9706,0.1455,-0.364,0.2187,0.733,0.8025,0.633
5y,F79,21,0.05,1.0,1.0047,0.1494,-0.364,0.219,0.748,0.8025,0.633
5y,F79,21,0.1,0.0,0.3709,0.0652,-0.3325,0.1984,0.419,0.8025,0.633
5y,F79,21,0.1,0.25,0.7845,0.123,-0.364,0.2153,0.648,0.8025,0.633
5y,F79,21,0.1,0.5,0.8964,0.1367,-0.364,0.2182,0.699,0.8025,0.633
5y,F79,21,0.1,0.75,0.963,0.1446,-0.364,0.2188,0.729,0.8025,0.633
5y,F79,21,0.1,1.0,0.9949,0.1483,-0.364,0.2191,0.743,0.8025,0.633
5y,F79,21,0.15,0.0,0.4551,0.078,-0.3463,0.2058,0.469,0.8025,0.633
5y,F79,21,0.15,0.25,0.7783,0.1222,-0.364,0.2168,0.642,0.8025,0.633
5y,F79,21,0.15,0.5,0.8975,0.1369,-0.364,0.2183,0.699,0.8025,0.633
5y,F79,21,0.15,0.75,0.955,0.1437,-0.364,0.2189,0.725,0.8025,0.633
5y,F79,21,0.15,1.0,0.985,0.1472,-0.364,0.2191,0.739,0.8025,0.633
5y,F79,21,0.2,0.0,0.5138,0.0866,-0.3549,0.2102,0.502,0.8025,0.633
