sample,ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,episodes
2011,125,0.0,0.0,28,2.246,0.0778,-0.2473,0.1189,0.692,-0.10789580304925372,-0.15750187115830205,0.2098084735925711,77
2011,125,0.0,0.0,29,2.2697,0.0783,-0.2473,0.12,0.69,-0.1078958030492535,-0.169265542217781,0.21445153801508995,77
2011,125,0.0,0.0,30,2.3518,0.08,-0.2463,0.1201,0.703,-0.10789580304925339,-0.1681781834444247,0.21416134648868254,77
2011,125,0.0,0.0,31,2.3928,0.0809,-0.2463,0.1202,0.709,-0.10789580304925361,-0.16817818344442492,0.21358096343586766,77
2011,125,0.0,0.25,28,3.0711,0.0935,-0.2074,0.1236,0.787,-0.17177977425370428,-0.13086070839146202,0.16511897852582705,77
2011,125,0.0,0.25,29,3.108,0.0941,-0.2074,0.1247,0.786,-0.17177977425370416,-0.1457319684478391,0.16395821242019734,77
2011,125,0.0,0.25,30,3.2111,0.0959,-0.2064,0.1248,0.798,-0.17177977425370383,-0.14461380628398035,0.1625072547881602,77
2011,125,0.0,0.25,31,3.2626,0.0967,-0.2064,0.1248,0.804,-0.17177977425370416,-0.14461380628398013,0.16018572257690075,77
2011,125,0.0,0.5,28,4.0026,0.1079,-0.2398,0.1376,0.816,-0.2329856594366454,-0.11439053681791134,0.07806152060359837,77
2011,125,0.0,0.5,29,4.0715,0.1089,-0.2398,0.1385,0.818,-0.2329856594366455,-0.12954360694432931,0.0783517121300058,77
2011,125,0.0,0.5,30,4.1988,0.1107,-0.2398,0.1386,0.829,-0.2329856594366453,-0.12840425563062574,0.07690075449796865,77
2011,125,0.0,0.5,31,4.2623,0.1115,-0.2398,0.1387,0.834,-0.2329856594366454,-0.12840425563062607,0.07457922228670923,77
2011,125,0.0,0.75,28,4.8929,0.1195,-0.2993,0.1594,0.79,-0.2915301121302315,-0.14870170463527654,0.06384213580963435,77
2011,125,0.0,0.75,29,5.0171,0.121,-0.2993,0.1603,0.795,-0.29153011213023083,-0.13446500299356468,0.0612304120719675,77
2011,125,0.0,0.75,30,5.168,0.1228,-0.2993,0.1603,0.805,-0.2915301121302315,-0.1329801761023084,0.05832849680789321,77
2011,125,0.0,0.75,31,5.2433,0.1237,-0.2993,0.1604,0.809,-0.29153011213023095,-0.1329801761023076,0.05774811375507835,77
5y,125,0.02,0.0,28,0.9313,0.1409,-0.1539,0.1364,1.039,-0.14041591482261007,0.057490404294471276,0.0,7
5y,125,0.02,0.0,29,0.9297,0.1407,-0.1539,0.1364,1.038,-0.14041591482261007,0.057490404294471276,0.0,7
5y,125,0.02,0.0,30,0.932,0.141,-0.1539,0.1364,1.04,-0.14041591482261007,0.057490404294471276,0.0,7
5y,125,0.02,0.0,31,0.9474,0.1428,-0.1539,0.1365,1.051,-0.14041591482261007,0.057490404294471276,0.0,7
5y,125,0.02,0.25,28,0.9206,0.1396,-0.2059,0.1417,0.997,-0.19472812675929863,0.02559340993465975,0.0,7
5y,125,0.02,0.25,29,0.919,0.1394,-0.2059,0.1417,0.996,-0.19472812675929863,0.02559340993465975,0.0,7
5y,125,0.02,0.25,30,0.9212,0.1397,-0.2059,0.1417,0.998,-0.19472812675929863,0.02559340993465975,0.0,7
5y,125,0.02,0.25,31,0.9366,0.1415,-0.2059,0.1418,1.009,-0.19472812675929863,0.02559340993465975,0.0,7
5y,125,0.02,0.5,28,0.9064,0.1379,-0.2578,0.1578,0.901,-0.24734606247026225,-0.0071056785269086875,0.0013333333333333333,7
5y,125,0.02,0.5,29,0.9048,0.1377,-0.2578,0.1578,0.9,-0.24734606247026225,-0.0071056785269086875,0.0013333333333333333,7
5y,125,0.02,0.5,30,0.907,0.138,-0.2578,0.1578,0.902,-0.24734606247026225,-0.0071056785269086875,0.0013333333333333333,7
5y,125,0.02,0.5,31,0.9222,0.1398,-0.2578,0.1579,0.911,-0.24734606247026225,-0.0071056785269086875,0.0013333333333333333,7
5y,125,0.02,0.75,28,0.8885,0.1358,-0.308,0.1837,0.788,-0.298252834290479,-0.04506021792888104,0.02266666666666667,7
5y,125,0.02,0.75,29,0.8869,0.1356,-0.308,0.1837,0.787,-0.298252834290479,-0.04506021792888104,0.02266666666666667,7
5y,125,0.02,0.75,30,0.8891,0.1358,-0.308,0.1837,0.788,-0.298252834290479,-0.04506021792888104,0.02266666666666667,7
5y,125,0.02,0.75,31,0.9042,0.1377,-0.308,0.1838,0.797,-0.298252834290479,-0.04506021792888104,0.02266666666666667,7
2011,125,0.02,0.0,28,3.9766,0.1076,-0.2267,0.127,0.87,-0.14041591482261007,-0.16809559756996784,0.1343586767266396,27
2011,125,0.02,0.0,29,3.9424,0.1071,-0.2267,0.128,0.861,-0.14041591482261007,-0.16809559756996784,0.13406848520023215,27
2011,125,0.02,0.0,30,4.0574,0.1087,-0.2267,0.1281,0.872,-0.14041591482261007,-0.16809559756996784,0.1334881021474173,27
2011,125,0.02,0.0,31,4.0708,0.1089,-0.2267,0.1282,0.873,-0.14041591482260996,-0.16809559756996784,0.134648868253047,27
2011,125,0.02,0.25,28,4.6342,0.1164,-0.2059,0.131,0.908,-0.19472812675929874,-0.11774616171785757,0.07196749854904237,27
2011,125,0.02,0.25,29,4.5955,0.1159,-0.2059,0.1319,0.899,-0.19472812675929885,-0.11774616171785757,0.06761462565293093,27
2011,125,0.02,0.25,30,4.7256,0.1175,-0.2059,0.132,0.91,-0.19472812675929885,-0.11774616171785757,0.06587347649448635,27
