sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,74,26,0.7239,0.1152,-0.2302,0.1481,0.814,-0.20917063565958482,0.0008577276148553636,0.0,29
5y,74,27,0.7392,0.1172,-0.2302,0.1483,0.825,-0.20917063565958482,0.009773200897058132,0.0,33
5y,74,28,0.8557,0.1318,-0.2302,0.1544,0.883,-0.20917063565958482,0.009773200897058132,0.0,37
5y,74,29,0.8499,0.1311,-0.2302,0.1544,0.879,-0.20917063565958482,0.009773200897058132,0.0,36
5y,74,30,0.858,0.1321,-0.2302,0.1544,0.884,-0.20917063565958482,0.009773200897058132,0.0,32
5y,74,31,0.8664,0.1331,-0.2302,0.1545,0.89,-0.20917063565958482,0.009773200897058132,0.0,29
5y,74,32,0.7865,0.1232,-0.2322,0.1552,0.83,-0.22923874405735112,-0.015850832512048885,0.005333333333333333,31
5y,74,33,0.7865,0.1232,-0.2322,0.1552,0.83,-0.22923874405735112,-0.015850832512048885,0.005333333333333333,32
5y,74,34,0.7729,0.1215,-0.2322,0.1554,0.819,-0.22923874405735112,-0.02618662137239325,0.008,31
5y,74,35,0.7729,0.1215,-0.2322,0.1554,0.819,-0.22923874405735112,-0.02618662137239325,0.008,28
5y,74,36,0.7649,0.1205,-0.2322,0.1554,0.813,-0.22923874405735112,-0.02618662137239325,0.008,30
5y,74,37,0.7649,0.1205,-0.2322,0.1554,0.813,-0.22923874405735112,-0.02618662137239325,0.008,35
5y,74,38,0.7752,0.1218,-0.2322,0.1554,0.821,-0.22923874405735112,-0.02048530576685137,0.006666666666666667,39
5y,74,39,0.7575,0.1195,-0.2322,0.1555,0.807,-0.22923874405735112,-0.02048530576685137,0.006666666666666667,42
5y,74,40,0.7575,0.1195,-0.2322,0.1555,0.807,-0.22923874405735112,-0.02048530576685137,0.006666666666666667,44
5y,74,41,0.7805,0.1225,-0.2322,0.1583,0.812,-0.22923874405735112,-0.03873166722243215,0.016,46
5y,74,42,0.7805,0.1225,-0.2322,0.1583,0.812,-0.22923874405735112,-0.03873166722243215,0.016,42
5y,74,43,0.7805,0.1225,-0.2322,0.1583,0.812,-0.22923874405735112,-0.03873166722243215,0.016,40
