base,resell_level,crash_level,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
B,75,40,1.0,0.7813,0.1226,-0.3608,0.2157,0.646
B,80,10,0.25,0.4075,0.0708,-0.3559,0.2074,0.435
B,80,10,0.5,0.419,0.0726,-0.3623,0.2087,0.441
B,80,10,0.75,0.4285,0.074,-0.364,0.209,0.447
B,80,10,1.0,0.4313,0.0744,-0.364,0.2091,0.449
B,80,15,0.25,0.4146,0.0719,-0.364,0.2091,0.438
B,80,15,0.5,0.4211,0.0729,-0.364,0.2094,0.442
B,80,15,0.75,0.42,0.0727,-0.364,0.2096,0.441
B,80,15,1.0,0.4208,0.0729,-0.364,0.2096,0.441
B,80,20,0.25,0.4483,0.077,-0.364,0.2098,0.46
B,80,20,0.5,0.4576,0.0784,-0.364,0.2104,0.465
B,80,20,0.75,0.4596,0.0787,-0.364,0.2107,0.466
B,80,20,1.0,0.4635,0.0792,-0.364,0.2108,0.468
B,80,25,0.25,0.6422,0.1044,-0.364,0.2131,0.574
B,80,25,0.5,0.7414,0.1175,-0.364,0.2154,0.625
B,80,25,0.75,0.7797,0.1224,-0.364,0.2163,0.644
B,80,25,1.0,0.8038,0.1254,-0.364,0.2166,0.656
B,80,30,0.25,0.7449,0.1179,-0.364,0.2158,0.627
B,80,30,0.5,0.8142,0.1267,-0.364,0.2184,0.658
B,80,30,0.75,0.8789,0.1346,-0.364,0.2194,0.688
B,80,30,1.0,0.9293,0.1406,-0.364,0.2199,0.711
B,80,35,0.25,0.8109,0.1263,-0.364,0.2184,0.656
B,80,35,0.5,0.8718,0.1338,-0.364,0.2196,0.684
B,80,35,0.75,0.8895,0.1359,-0.364,0.22,0.692
B,80,35,1.0,0.8925,0.1363,-0.364,0.2202,0.693
B,80,40,0.25,0.8506,0.1312,-0.364,0.2192,0.674
B,80,40,0.5,0.8758,0.1342,-0.364,0.22,0.685
B,80,40,0.75,0.882,0.135,-0.364,0.2202,0.687
B,80,40,1.0,0.8856,0.1354,-0.364,0.2203,0.689
B,85,10,0.25,0.7834,0.1228,-0.3559,0.2264,0.627
B,85,10,0.5,0.798,0.1247,-0.3623,0.2277,0.632
B,85,10,0.75,0.81,0.1262,-0.364,0.2279,0.637
B,85,10,1.0,0.8135,0.1266,-0.364,0.228,0.639
B,85,15,0.25,0.7924,0.124,-0.364,0.228,0.629
B,85,15,0.5,0.8007,0.125,-0.364,0.2283,0.632
B,85,15,0.75,0.7992,0.1248,-0.364,0.2284,0.631
B,85,15,1.0,0.8002,0.1249,-0.364,0.2285,0.632
