ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
125,0.0,0.0,29,1.6263,0.0634,-0.4776,0.1645,0.482
125,0.0,0.0,30,1.6416,0.0638,-0.4776,0.1647,0.484
125,0.0,0.0,31,1.6668,0.0644,-0.4776,0.1648,0.488
125,0.0,0.25,28,1.9143,0.0705,-0.4354,0.1673,0.519
125,0.0,0.25,29,1.937,0.071,-0.4354,0.1681,0.52
125,0.0,0.25,30,1.9541,0.0714,-0.4354,0.1683,0.522
125,0.0,0.25,31,1.9823,0.072,-0.4354,0.1683,0.526
125,0.0,0.5,28,2.1831,0.0765,-0.402,0.1776,0.532
125,0.0,0.5,29,2.2079,0.077,-0.402,0.1784,0.534
125,0.0,0.5,30,2.2266,0.0774,-0.402,0.1786,0.535
125,0.0,0.5,31,2.2574,0.0781,-0.402,0.1786,0.539
125,0.0,0.75,28,2.4211,0.0815,-0.4051,0.1942,0.527
125,0.0,0.75,29,2.4478,0.082,-0.4051,0.1949,0.529
125,0.0,0.75,30,2.4679,0.0824,-0.4051,0.195,0.531
125,0.0,0.75,31,2.5009,0.083,-0.4051,0.1951,0.534
125,0.02,0.0,28,1.3705,0.0565,-0.4776,0.1668,0.436
125,0.02,0.0,29,1.389,0.057,-0.4776,0.1676,0.437
125,0.02,0.0,30,1.4029,0.0574,-0.4776,0.1678,0.44
125,0.02,0.0,31,1.4153,0.0577,-0.4776,0.1678,0.442
125,0.02,0.25,28,1.7602,0.0668,-0.4354,0.1702,0.491
125,0.02,0.25,29,1.7817,0.0673,-0.4354,0.171,0.493
125,0.02,0.25,30,1.7979,0.0677,-0.4354,0.1712,0.495
125,0.02,0.25,31,1.8124,0.068,-0.4354,0.1712,0.497
125,0.02,0.5,28,2.1658,0.0761,-0.402,0.1805,0.525
125,0.02,0.5,29,2.1904,0.0767,-0.402,0.1812,0.526
125,0.02,0.5,30,2.209,0.0771,-0.402,0.1814,0.528
125,0.02,0.5,31,2.2256,0.0774,-0.402,0.1814,0.53
125,0.02,0.75,28,2.5406,0.0838,-0.4051,0.1971,0.534
125,0.02,0.75,29,2.5682,0.0844,-0.4051,0.1978,0.536
125,0.02,0.75,30,2.589,0.0848,-0.4051,0.1979,0.538
125,0.02,0.75,31,2.6076,0.0851,-0.4051,0.198,0.539
125,0.03,0.0,28,1.0521,0.0468,-0.4689,0.1692,0.374
125,0.03,0.0,29,1.2097,0.0518,-0.4689,0.1704,0.402
125,0.03,0.0,30,1.2225,0.0522,-0.4689,0.1706,0.404
125,0.03,0.0,31,1.234,0.0525,-0.4689,0.1706,0.406
125,0.03,0.25,28,1.4644,0.0591,-0.4285,0.1725,0.442
125,0.03,0.25,29,1.6562,0.0642,-0.4285,0.1737,0.47
125,0.03,0.25,30,1.6717,0.0646,-0.4285,0.1738,0.472
125,0.03,0.25,31,1.6855,0.0649,-0.4285,0.1739,0.474
125,0.03,0.5,28,1.9316,0.0709,-0.402,0.1823,0.493
125,0.03,0.5,29,2.1594,0.076,-0.402,0.1834,0.518
125,0.03,0.5,30,2.1778,0.0764,-0.402,0.1835,0.52
125,0.03,0.5,31,2.1942,0.0767,-0.402,0.1836,0.522
125,0.03,0.75,28,2.4099,0.0812,-0.4051,0.1981,0.52
125,0.03,0.75,29,2.6748,0.0864,-0.4051,0.1992,0.544
125,0.03,0.75,30,2.6962,0.0868,-0.4051,0.1993,0.545
125,0.03,0.75,31,2.7153,0.0871,-0.4051,0.1993,0.547
125,0.05,0.0,28,1.2251,0.0522,-0.4463,0.1739,0.4
125,0.05,0.0,29,1.3973,0.0572,-0.4463,0.1751,0.428
125,0.05,0.0,30,1.4113,0.0576,-0.4463,0.1753,0.43
125,0.05,0.0,31,1.4257,0.058,-0.4463,0.1753,0.432
125,0.05,0.25,28,1.5936,0.0626,-0.4142,0.1768,0.455
125,0.05,0.25,29,1.7958,0.0676,-0.4142,0.178,0.482
125,0.05,0.25,30,1.8121,0.068,-0.4142,0.1782,0.484
125,0.05,0.25,31,1.8434,0.0688,-0.4142,0.1783,0.488
125,0.05,0.5,28,2.0007,0.0725,-0.402,0.1856,0.495
125,0.05,0.5,29,2.2346,0.0776,-0.402,0.1867,0.521
125,0.05,0.5,30,2.2535,0.078,-0.402,0.1869,0.523
125,0.05,0.5,31,2.3113,0.0792,-0.402,0.1872,0.529
125,0.05,0.75,28,2.4488,0.082,-0.4051,0.2,0.521
125,0.05,0.75,29,2.7176,0.0872,-0.4051,0.2011,0.544
125,0.05,0.75,30,2.7393,0.0876,-0.4051,0.2012,0.546
125,0.05,0.75,31,2.8305,0.0893,-0.4051,0.2018,0.553
150,0.0,0.0,28,1.4481,0.0587,-0.4141,0.1678,0.447
150,0.0,0.0,29,1.4671,0.0592,-0.4141,0.1686,0.449
150,0.0,0.0,30,1.4815,0.0596,-0.4141,0.1688,0.451
150,0.0,0.0,31,1.5516,0.0615,-0.4141,0.1692,0.461
150,0.0,0.25,28,1.7677,0.067,-0.4081,0.1712,0.49
150,0.0,0.25,29,1.7893,0.0675,-0.4081,0.172,0.492
150,0.0,0.25,30,1.8055,0.0679,-0.4081,0.1721,0.494
150,0.0,0.25,31,1.8896,0.0699,-0.4081,0.1726,0.505
150,0.0,0.5,28,2.0415,0.0734,-0.4081,0.1811,0.508
150,0.0,0.5,29,2.0651,0.0739,-0.4081,0.1819,0.51
150,0.0,0.5,30,2.083,0.0743,-0.4081,0.182,0.512
150,0.0,0.5,31,2.223,0.0774,-0.4081,0.1826,0.527
150,0.0,0.75,28,2.2935,0.0788,-0.4081,0.197,0.51
150,0.0,0.75,29,2.3191,0.0794,-0.4081,0.1977,0.511
150,0.0,0.75,30,2.3385,0.0798,-0.4081,0.1978,0.513
150,0.0,0.75,31,2.542,0.0838,-0.4081,0.1986,0.532
150,0.02,0.0,28,1.0656,0.0473,-0.4274,0.1706,0.375
150,0.02,0.0,29,1.0817,0.0478,-0.4274,0.1714,0.377
150,0.02,0.0,30,1.0938,0.0482,-0.4339,0.1716,0.379
150,0.02,0.0,31,1.1046,0.0485,-0.436,0.1716,0.381
150,0.02,0.25,28,1.4441,0.0585,-0.4081,0.1738,0.437
150,0.02,0.25,29,1.4631,0.0591,-0.4081,0.1746,0.439
150,0.02,0.25,30,1.4774,0.0595,-0.4081,0.1748,0.441
