date,fg,fg_rating,close,fwd_ret_1w,fwd_ret_1m,fwd_ret_3m,fwd_ret_6m,fwd_ret_12m,fg_chg_5d
2021-11-04,72.43333333333334,greed,15940.3095703125,-0.014807071081893275,-0.04486482376850598,-0.11557490753621436,-0.23811641783491966,-0.34284525944782895,8.033333333333331
2021-11-05,73.60000000000001,greed,15971.58984375,-0.006926666906350021,-0.017823518175706043,-0.12246244368968628,-0.2722546650827996,-0.33854302329306896,8.166666666666671
2021-11-08,74.53333333333335,greed,15982.3603515625,-0.008040786176801262,-0.01222410913594496,-0.11186771646499682,-0.26558595453471434,-0.33575517246583564,8.400000000000006
2021-11-09,77.17142857142858,extreme greed,15886.5400390625,0.005496496548983876,-0.023237905860386765,-0.08788382608434797,-0.28466234898019815,-0.3483055532281928,8.904761904761912
2021-11-10,73.08571428571429,greed,15622.7099609375,0.019129866221017977,0.000505011515750331,-0.09198598169544225,-0.2721518872609767,-0.28859010898784854,0.8857142857142861
2021-11-11,72.22857142857143,greed,15704.2802734375,0.018429987395827796,-0.01852998003940387,-0.12182219430000885,-0.24829410871078328,-0.2789653597002161,-0.20476190476190936
2021-11-12,74.0,greed,15860.9599609375,0.012387678251120526,-0.039299028182097295,-0.1305116489897592,-0.26468573984262533,-0.2941020118494315,0.3999999999999915
2021-11-15,71.62857142857145,greed,15853.849609375,5.740916385765793e-05,-0.01818293590217579,-0.10811821014981693,-0.24406249418670622,-0.2835550710955824,-2.904761904761898
2021-11-16,72.48571428571428,greed,15973.8603515625,-0.012440368123386114,-0.04967056469758668,-0.11579984218602257,-0.28519780821120544,-0.2998774303697942,-4.6857142857142975
2021-11-17,69.2,greed,15921.5703125,-0.0047947433734011335,-0.047224652483536245,-0.1384819802734203,-0.28471251412563836,-0.3000087464872978,-3.885714285714286
2021-11-18,70.14285714285715,greed,15993.7099609375,-0.03139045324153622,-0.06332298970805117,-0.15291259216345976,-0.29005714465751586,-0.30309730528218526,-2.0857142857142748
2021-11-19,62.77142857142859,greed,16057.4404296875,-0.017101751226477613,-0.04461175422535513,-0.16664678970193614,-0.28162464112753416,-0.3134329338539821,-11.228571428571414
2021-11-22,60.0,greed,15854.759765625,-0.01999836898348617,-0.020994964421296447,-0.1776923506187823,-0.28952249281410336,-0.29520154695264156,-11.628571428571448
2021-11-23,60.371428571428574,greed,15775.1396484375,-0.033032344268446034,-0.00771907786325432,-0.1458972697535178,-0.2751417426908426,-0.2846136031754374,-12.114285714285707
2021-11-24,56.94285714285714,greed,15845.23046875,-0.02927758969267913,0.0016427212545968572,-0.1357260379269294,-0.25904199287098173,-0.29149908083046483,-12.25714285714286
2021-11-26,31.25714285714286,fear,15491.66015625,-0.026219941929440327,0.01872359497864906,-0.1123352660768836,-0.21692512226210425,-0.2867452623828597,-38.88571428571429
2021-11-29,38.114285714285714,fear,15782.830078125,-0.03533458098069142,-0.0010524317552859097,-0.1425834344061343,-0.23452323894798155,-0.30406776103729216,-24.657142857142873
